Transaction Name,Transaction Name URL,Investor Names,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Lead Investors,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD)
Series C - Bitso,https://www.crunchbase.com/funding_round/bitso-series-c--b908f640,"1Sharpe Capital, Bond, Coatue, Invus Opportunities, Kaszek, Pantera Capital, Paradigm, QED Investors, Tiger Global Management, Valor Capital Group",Bitso,https://www.crunchbase.com/organization/bitso,Series C,250000000,USD,250000000,2021-05-05,"Coatue, Tiger Global Management",1950000000,USD,1950000000,314500000,USD,314500000
Series B - Persona,https://www.crunchbase.com/funding_round/persona-188f-series-b--d748ccd1,"Coatue, Hyphen Capital, Index Ventures",Persona,https://www.crunchbase.com/organization/persona-188f,Series B,50000000,USD,50000000,2021-05-04,Index Ventures,,,,217518750,USD,217518750
Series A - PrizePool,https://www.crunchbase.com/funding_round/prizepool-series-a--efecbb86,"Accomplice, Bling Capital, Coatue, FJ Labs, M13, NextView Ventures, WiL (World Innovation Lab)",PrizePool,https://www.crunchbase.com/organization/prizepool,Series A,14320000,USD,14320000,2021-05-02,M13,40000000,USD,40000000,18620000,USD,18620000
Series D - PingCAP,https://www.crunchbase.com/funding_round/pingcap-series-d--5f73a139,"Coatue, GGV Capital, GIC, Sequoia Capital",PingCAP,https://www.crunchbase.com/organization/pingcap,Series D,300000000,USD,300000000,2021-05-01,"GGV Capital, Sequoia Capital",2700000000,USD,2700000000,641600000,USD,641600000
Series D - Mux,https://www.crunchbase.com/funding_round/mux-2-series-d--b3789f50,"Accel, Andreessen Horowitz, Coatue, Cobalt Capital, Dragoneer Investment Group, HubSpot Ventures, Kamerra",Mux,https://www.crunchbase.com/organization/mux-2,Series D,105000000,USD,105000000,2021-05-01,Coatue,895000000,USD,895000000,173920000,USD,173920000
Seed Round - PortalOne,https://www.crunchbase.com/funding_round/portalone-inc-seed--947566c3,"Amy Morhaime, ARRI, Atari, Coatue, Eugene Wei, Founders Fund, Kevin Lin, Michael Morhaime, Rogue Venture Partners, Seedcamp, Signia Venture Partners, SNÖ Ventures, Talis Capital, TQ Ventures, Xen Lategan",PortalOne,https://www.crunchbase.com/organization/portalone-inc,Seed,12400000,EUR,15035771,2021-04-29,Talis Capital,,,,75320972,USD,75320972
Series B - Alchemy,https://www.crunchbase.com/funding_round/alchemy-insights-series-b--be4723a0,"Addition, Charles Schwab, Coatue, Coinbase Ventures, Communitas Capital Partners, DFJ Growth, Genies, Glazer Family, Jared Leto, Jerry Yang, John Hennessy, K5 Global, Neythri Futures Fund, Pantera Capital, Reid Hoffman, Samsung NEXT, Shawn Carter, SignalFire, Stanford University, The Chainsmokers",Alchemy,https://www.crunchbase.com/organization/alchemy-insights,Series B,80000000,USD,80000000,2021-04-28,"Addition, Coatue",425000000,USD,425000000,563903667,USD,563903667
Series C - Step,https://www.crunchbase.com/funding_round/step-c04b-series-c--8c0b8b9d,"Breyer Labs, BroadLight Capital, Charli D’Amelio, Coatue, Franklin Templeton, General Catalyst, Jared Leto, Jeffrey Katzenberg, Kombo Ventures, Smash Capital, Stephen Curry, Stripe, The Chainsmokers, Will Smith",Step,https://www.crunchbase.com/organization/step-c04b,Series C,100000000,USD,100000000,2021-04-27,General Catalyst,,,,491300000,USD,491300000
Series B - Unsupervised,https://www.crunchbase.com/funding_round/customer-science-series-b--3dda98cc,"Cathay Innovation, Coatue, Elad Gil, Eniac Ventures, NextGen Venture Partners, SignalFire",Unsupervised,https://www.crunchbase.com/organization/customer-science,Series B,35000000,USD,35000000,2021-04-23,"Cathay Innovation, SignalFire",,,,53499220,USD,53499220
Series D - Deep Instinct,https://www.crunchbase.com/funding_round/deep-instinct-series-d--43145723,"Anne Wojcicki, BlackRock, Coatue, Millennium Management, Tudor Group, Unbound, Untitled Investments",Deep Instinct,https://www.crunchbase.com/organization/deep-instinct,Series D,100000000,USD,100000000,2021-04-22,BlackRock,,,,321600000,USD,321600000
